,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
598,Royal Challengers Bangalore,2021/04/14,V Kohli,D Padikkal,Shahbaz Ahmed,GJ Maxwell,AB de Villiers,Washington Sundar,DT Christian,KA Jamieson,HV Patel,Mohammed Siraj,YS Chahal
599,Sunrisers Hyderabad,2021/04/14,WP Saha,DA Warner,MK Pandey,JM Bairstow,Abdul Samad,V Shankar,JO Holder,Rashid Khan,B Kumar,S Nadeem,T Natarajan
600,Mumbai Indians,2022/03/27,RG Sharma,Ishan Kishan,Anmolpreet Singh,Tilak Varma,KA Pollard,TH David,DR Sams,M Ashwin,TS Mills,JJ Bumrah,Basil Thampi
601,Delhi Capitals,2022/03/27,PP Shaw,TL Seifert,Mandeep Singh,RR Pant,Lalit Yadav,R Powell,SN Thakur,AR Patel,Kuldeep Yadav,KK Ahmed,KL Nagarkoti
602,Kings XI Punjab,2015/05/16,WP Saha,M Vohra,GJ Bailey,GJ Maxwell,Gurkeerat Singh,DA Miller,AR Patel,R Dhawan,BE Hendricks,Anureet Singh,Sandeep Sharma
603,Chennai Super Kings,2015/05/16,MEK Hussey,BB McCullum,F du Plessis,SK Raina,MS Dhoni,DJ Bravo,P Negi,RA Jadeja,R Ashwin,A Nehra,IC Pandey
604,Chennai Super Kings,2009/04/18,PA Patel,ML Hayden,SK Raina,A Flintoff,MS Dhoni,JDP Oram,S Badrinath,Joginder Sharma,T Thushara,MS Gony,R Ashwin
605,Mumbai Indians,2009/04/18,ST Jayasuriya,SR Tendulkar,S Dhawan,JP Duminy,DJ Bravo,AM Nayar,Harbhajan Singh,Z Khan,PR Shah,SL Malinga,RR Raje
606,Delhi Daredevils,2009/05/15,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,M Manhas,KD Karthik,MF Maharoof,DL Vettori,R Bhatia,PJ Sangwan,A Nehra
607,Kings XI Punjab,2009/05/15,S Sohal,SM Katich,LA Pomersbach,Yuvraj Singh,KC Sangakkara,IK Pathan,B Lee,PP Chawla,RR Powar,WA Mota,S Sreesanth
608,Royal Challengers Bangalore,2019/04/02,V Kohli,PA Patel,AB de Villiers,SO Hetmyer,MP Stoinis,MM Ali,AD Nath,UT Yadav,NA Saini,YS Chahal,Mohammed Siraj
609,Rajasthan Royals,2019/04/02,AM Rahane,JC Buttler,SPD Smith,RA Tripathi,BA Stokes,STR Binny,K Gowtham,JC Archer,S Gopal,VR Aaron,DS Kulkarni
610,Royal Challengers Bangalore,2015/05/02,CH Gayle,V Kohli,AB de Villiers,Mandeep Singh,D Wiese,KD Karthik,SN Khan,HV Patel,MA Starc,VR Aaron,YS Chahal
